season_end_year,game_id,game_date,team_abbrev,opp_abbrev,is_home,team_pts,team_reb,team_ast,team_tpm,ingested_at
2026,401810738,2026-03-03,DAL,CHA,0,90,42,19,3,2026-03-04T11:35:43Z
2026,401810738,2026-03-03,CHA,DAL,1,117,49,32,20,2026-03-04T11:35:43Z
2026,401810739,2026-03-03,DET,CLE,0,109,44,29,9,2026-03-04T11:35:43Z
2026,401810739,2026-03-03,CLE,DET,1,113,38,27,17,2026-03-04T11:35:43Z
2026,401810740,2026-03-03,WSH,ORL,0,109,42,23,7,2026-03-04T11:35:43Z
2026,401810740,2026-03-03,ORL,WSH,1,126,38,33,10,2026-03-04T11:35:43Z
2026,401810744,2026-03-03,CHI,OKC,1,108,53,27,17,2026-03-04T11:35:44Z
2026,401810744,2026-03-03,OKC,CHI,0,116,51,23,10,2026-03-04T11:35:44Z
2026,401810743,2026-03-03,PHI,SA,1,91,40,20,10,2026-03-04T11:35:44Z
2026,401810743,2026-03-03,SA,PHI,0,131,56,36,18,2026-03-04T11:35:44Z
2026,401810742,2026-03-03,TOR,NY,1,95,28,24,8,2026-03-04T11:35:44Z
2026,401810742,2026-03-03,NY,TOR,0,111,43,32,10,2026-03-04T11:35:44Z
2026,401810741,2026-03-03,MIA,BKN,1,124,46,28,13,2026-03-04T11:35:44Z
2026,401810741,2026-03-03,BKN,MIA,0,98,38,24,6,2026-03-04T11:35:44Z
2026,401810745,2026-03-03,MEM,MIN,0,110,33,27,15,2026-03-04T11:35:45Z
2026,401810745,2026-03-03,MIN,MEM,1,117,52,19,10,2026-03-04T11:35:45Z
2026,401810746,2026-03-03,NO,LAL,0,101,41,29,8,2026-03-04T11:35:45Z
2026,401810746,2026-03-03,LAL,NO,1,110,48,29,11,2026-03-04T11:35:45Z
2026,401810747,2026-03-03,PHX,SAC,0,114,53,31,19,2026-03-04T11:35:45Z
2026,401810747,2026-03-03,SAC,PHX,1,103,40,25,7,2026-03-04T11:35:45Z
