game_id,player_id,athlete_name,team_abbrev,matched_by,team_hint_ok
401811020,3059319,Andrew Wiggins,MIA,id,
401811020,4066261,Bam Adebayo,MIA,id,
401811020,4395725,Tyler Herro,MIA,id,
401811020,4432848,Jaime Jaquez Jr.,MIA,id,
401811020,5105623,Kel'el Ware,MIA,id,
401811020,2595516,Norman Powell,MIA,id,
401811020,3913176,Brandon Ingram,TOR,id,
401811020,4395625,RJ Barrett,TOR,id,
401811020,4433134,Scottie Barnes,TOR,id,
401811020,3134908,Jakob Poeltl,TOR,id,
401811020,4395724,Immanuel Quickley,TOR,id,
401811021,4277811,Collin Sexton,CHI,id,
401811022,4278355,Obi Toppin,IND,id,
401811022,4278067,Nic Claxton,BKN,id,
401811023,4065648,Jayson Tatum,BOS,id,
401811023,4397424,Neemias Queta,BOS,id,
401811023,3078576,Derrick White,BOS,id,
401811023,6478,Nikola Vucevic,BOS,id,
401811023,4066354,Payton Pritchard,BOS,id,
401811023,3934719,OG Anunoby,NY,id,
401811023,3136195,Karl-Anthony Towns,NY,id,
401811023,3062679,Josh Hart,NY,id,
401811023,3147657,Mikal Bridges,NY,id,
401811023,3934672,Jalen Brunson,NY,id,
401811024,4251,Paul George,PHI,id,
401811024,4431678,Tyrese Maxey,PHI,id,
401811024,5124612,VJ Edgecombe,PHI,id,
401811024,3202,Kevin Durant,HOU,id,
401811024,4432639,Jabari Smith Jr.,HOU,id,
401811024,4871144,Alperen Sengun,HOU,id,
401811024,4684740,Amen Thompson,HOU,id,
401811024,4433192,Tari Eason,HOU,id,
401811024,4711272,Reed Sheppard,HOU,id,
401811025,1966,LeBron James,LAL,id,
401811025,4278129,Deandre Ayton,LAL,id,
401811025,6589,Draymond Green,GS,id,
